,id,user_name,mentions,hashtags,geo,Time,Text
3759,1063049709177266176,EU_Citizen2,,#StopBrexit #PeoplesVote,,2018-11-15 12:42:55+00:00,#StopBrexit that is the only answer #PeoplesVote
3760,1063049699815579648,mccanntb,,#BrexitChaos #PeoplesVote #StopBrexit #FinalSayForAll,,2018-11-15 12:42:53+00:00,This sould be on loop today. #BrexitChaos #PeoplesVote #StopBrexit with a #FinalSayForAll https://youtu.be/HnCgN4knr0Y
3761,1063049581162827777,reyaazm,,#PeoplesVote #FBPE #PeoplesVoteMarch #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy #Remain #RemainerNow #Resist #Resistance,,2018-11-15 12:42:25+00:00,#PeoplesVote #FBPE #PeoplesVoteMarch #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy #Remain #RemainerNow #Resist #Resistance
3762,1063049510774104065,AlisonKMurray,,#StopBrexit,,2018-11-15 12:42:08+00:00,Fair enough - better we stop it now before those needing essential medications suffer. #StopBrexit
3763,1063049360202784769,bone_jo53,,#StopBrexit #PeoplesVote,,2018-11-15 12:41:32+00:00,This #StopBrexit #PeoplesVote
3764,1063049191134584832,reyaazm,,#PeoplesVote #FBPE #PeoplesVoteMarch #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy #Remain #RemainerNow #Resist #Resistance,,2018-11-15 12:40:52+00:00,#PeoplesVote #FBPE #PeoplesVoteMarch #StopBrexit #StopBrexitSaveBritain #StopBrexitSaveDemocracy #Remain #RemainerNow #Resist #Resistance
3765,1063048953464283136,SimonOak3,,#StopBrexit #BanFireworks,,2018-11-15 12:39:55+00:00,"Feeling you have no say? Give MPs the best excuse to #StopBrexit by adding your signature to http://rescind.co.uk. Do it today. It's been debated, but that debate was a shameful mockery. Numbers always count, let's make it the bigger than the #BanFireworks petition! Why not?"
3766,1063048925437980672,KimSJ,,#peoplesVote #stopBrexit,,2018-11-15 12:39:48+00:00,"Lib Dems still not getting it. #peoplesVote is the second-best option. I just hope that if we do get to an election, the LDs will campaign to #stopBrexit without bothering with another Referendum. "
3767,1063048915287588864,RegencyLabour,@Keir_Starmer @jeremycorbyn,#fbpe #stopbrexit,,2018-11-15 12:39:46+00:00,"It's also a demolition of the #fbpe - #stopbrexit approach; when some Lab MPs cheered at May's mention of 'Remain' you could see a glint in her eye - she would've loved Lab to take that position all along, and we'd have had a Hard Brexit. Brilliant by @Keir_Starmer @jeremycorbyn"
3768,1063048867527254016,scurvekano,,#StopBrexit,,2018-11-15 12:39:35+00:00,Going to the gym. Hopefully Britain will still exist when I get back #StopBrexit
3769,1063048666443927559,RooBubba,,#StopBrexit,,2018-11-15 12:38:47+00:00,This aged well. #StopBrexit
3770,1063048542414090240,AlisonKMurray,,#StopBrexit #StopBrexit #PeoplesVote #FinalSay,,2018-11-15 12:38:17+00:00,"There is no RISK to No Brexit - take the excuse of lack of support to just #StopBrexit Mrs May. Don't believe the will of the people wants to #StopBrexit - Give us the numbers, give us the facts and we'll help all get informed ahead of a #PeoplesVote or #FinalSay."
3771,1063048533245337600,RobertPigram,,#BrexitBounus #BrexitChaos #BrexitShambles #StopBrexit,,2018-11-15 12:38:15+00:00,£ vs Euro 1 = 1.1337 #BrexitBounus #BrexitChaos #BrexitShambles #StopBrexit 
3772,1063048527998316544,D0NN1EDARK0,@MoreUnitedUK,#StopBrexit #EU #peoplesvote,,2018-11-15 12:38:14+00:00,Sign the petition: The real #StopBrexit choice this demands we compare the current deal in the #EU to any deal we agree to leave https://www.moreunited.uk/real_brexit via @moreuniteduk #peoplesvote
3773,1063048451603226625,MrJBateson,,#StopBrexit,,2018-11-15 12:37:56+00:00,Watching the chaos in the House of Commons... Surely this won't get through? #StopBrexit
3774,1063048335949488129,nancyandadam,,#TheresaMay #StopBrexit,,2018-11-15 12:37:28+00:00,Will #TheresaMay statement and questions in Commons ever end? Have other scheduled sessions been cancelled? #StopBrexit
3775,1063048289979904001,nisarmir21,,#TheresaMay #FBPE #GTTO #PeoplesVote #StopBrexit #BrexitChaos,,2018-11-15 12:37:17+00:00,"Is this #TheresaMay's last question time as PM?? Rees-Mogg has lit the fuse, Anything AND Everything is possible. #FBPE #GTTO #PeoplesVote #StopBrexit #BrexitChaos"
3776,1063048165555888128,sean_t_ellis,,#stopbrexit,,2018-11-15 12:36:47+00:00,Yup. Which is why more and more people are realising that even the best achievable deal is horribly damaging and thus we should cancel the whole sorry experiment. The only viable course now is to withdraw our A50 notification and #stopbrexit
3777,1063048033179484160,Unruly_Brit,,#stopbrexit,,2018-11-15 12:36:16+00:00,"Bad day at the office. Theresa May's plans have been put down at every quarter. Event threat of no-confidence from the Brexit Secretary. Now the ball is in our court, making #stopbrexit happen. ""UK PM Theresa May says it’s my deal, no deal or no Brexit"" https://twitter.com/i/events/1062628408302006272"
3778,1063047972047462400,eamonn_bennett2,@jeremycorbyn,#StopBrexit,,2018-11-15 12:36:01+00:00,@jeremycorbyn - Brexit can’t be stopped.... #StopBrexit 
3779,1063047952896278529,JimPritchett,,#StopBrexit #PeoplesVoteNow,,2018-11-15 12:35:57+00:00,But you negotiated this deal?? It's your fault! #StopBrexit #PeoplesVoteNow
3780,1063047930347769856,FahadMaow,,#PeoplesVote #StopBrexit,,2018-11-15 12:35:51+00:00,Labour cannot get a better deal. There is no time for general election and renegotiation. Time for #PeoplesVote and #StopBrexit
3781,1063047929739558913,FuflunsPW,,#StopBrexit,,2018-11-15 12:35:51+00:00,"Unthinking tribalism, which FPTP encourages, is a threat to democracy. First #StopBrexit, and once we’ve achieved that, our first priority will have to be electoral reform."
3782,1063047880141950976,lyzchambers,@theresa_may,#StopBrexit #BrexitChaos #PeoplesVote,,2018-11-15 12:35:39+00:00,".@theresa_may keeps saying free movement WILL END like that is a good thing. Don't forget she is talking about YOUR free movement, your children's and grandchildren's free movement - not just some mythical bogeyman. #StopBrexit #BrexitChaos #PeoplesVote"
